Price,Standard,Aggressive,LongTerm
70,970.0322935555002,376.5239268436996,2000.3635865021643
75,979.4164068304989,343.6773880115884,1979.3595866397052
80,954.44247364384,312.48696692247756,1909.3641281981731
85,897.0661418801575,272.5815980116089,1817.0461633383738
90,814.5690465383269,247.92703755792587,1778.8040248307493
95,746.2098421386621,210.6657610999907,1672.516233244649
100,581.3657694024918,221.15919576252261,1500.4879894379887
105,532.4928192093117,230.47568425966114,1465.2063883797493
110,511.0519914687726,242.94507487431423,1426.0376117060262
115,514.7338807660705,251.14890728461654,1427.2515124743215
120,531.3194529568206,263.2691858616654,1436.5413662910214
125,555.7751817681549,276.23940202035203,1459.67877711325
130,574.2067814227961,287.89291470296166,1499.6777102770884
135,590.09437437755,294.9533918819048,1544.7045314178552
140,615.3164939359755,307.7708773346047,1586.683629266466
145,638.3577020587185,319.3030183727496,1638.3883350101066
150,660.7152114701587,329.93072148355316,1687.3768723672504
